Round,Date,Home Team,Score,Away Team,Venue
1,Sunday 24 March,Queensland Firebirds,68–59,Southern Steel,Brisbane Convention and Exhibition Centre
1,Sunday 24 March,Adelaide Thunderbirds,49–42,Central Pulse,"Netball SA Stadium, Adelaide"
1,Sunday 24 March,Canterbury Tactix,46–69,Waikato Bay of Plenty Magic,"Trafalgar Centre, Nelson"
1,Monday 25 March,Northern Mystics,46–60,Melbourne Vixens,"Trusts Stadium, Auckland"
1,Monday 25 March,New South Wales Swifts,55–41,West Coast Fever,"State Sports Centre, Sydney"
2,Saturday 30 March,Canterbury Tactix,56–75,Southern Steel,"CBS Canterbury Arena, Christchurch"
2,Sunday 31 March,Melbourne Vixens,58–44,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
2,Sunday 31 March,West Coast Fever,80–53,Northern Mystics,"Challenge Stadium, Perth"
2,Sunday 31 March,Waikato Bay of Plenty Magic,61–35,New South Wales Swifts,"ASB Baypark Arena, Tauranga"
2,Monday 1 April,Central Pulse,56–58,Queensland Firebirds,"Te Rauparaha Arena, Porirua"
3,Saturday 6 April,Southern Steel,54–60,Adelaide Thunderbirds,"Lion Foundation Arena, Dunedin"
3,Sunday 7 April,West Coast Fever,57–51,Waikato Bay of Plenty Magic,"Challenge Stadium, Perth"
3,Sunday 7 April,Northern Mystics,51–72,Queensland Firebirds,"Trusts Stadium, Auckland"
3,Monday 8 April,Central Pulse,55–49,New South Wales Swifts,"TSB Bank Arena, Wellington"
3,Monday 8 April,Melbourne Vixens,60–40,Canterbury Tactix,"Hisense Arena, Melbourne"
4,Sunday 14 April,Adelaide Thunderbirds,72–46,West Coast Fever,"Netball SA Stadium, Adelaide"
4,Sunday 14 April,Central Pulse,59–56,Southern Steel,"Arena Manawatu, Palmerston North"
4,Monday 15 April,Canterbury Tactix,80–78,Northern Mystics,"CBS Canterbury Arena, Christchurch"
4,Monday 15 April,New South Wales Swifts,53–61,Queensland Firebirds,Sydney Olympic Park Sports Centre
